event_id,fixture_id,provider_league_id,league_name,season,round,kickoff_utc,observed_at_utc,elapsed,extra,team_id,team_name,player_id,player_name,assist_id,assist_name,event_type,detail,comments,source,archive_version,research_only,creates_signal,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
3b2a002942298053339c301d7c5e39a0746f6a2ddf268bc8cbad0eb87d726f36,1553179,106,Ekstraklasa,2026,Regular Season - 9,2026-09-18T16:30:00+00:00,2026-09-18T20:51:05Z,54,,17115,Wieczysta Kraków,325449,Aleksandar Djermanovic,,,Card,Yellow Card,Foul,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
3c5602a62fbf7439b6235b510cce8d406c7f95e0a08c612af121ed84e3f720e9,1547634,362,A Lyga,2026,Regular Season - 32,2026-07-18T16:00:00+00:00,2026-09-18T12:54:52Z,46,,3872,Kauno Žalgiris,128737,R. Lekiatas,24362,A. Tolordava,subst,Substitution 1,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
3d65820ddceb34e1d569d3b959cbdf272a2034ecf22a7fb5e1a77979e875f3f9,1570397,140,La Liga,2026,Regular Season - 7,2026-09-18T19:00:00+00:00,2026-09-18T22:50:46Z,77,,797,Elche,45,Thomas Lemar,47182,Tete Morente,subst,Substitution 4,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
3d9692ad5e07881fc21ebbfebdf81fb42cf309157730945386bc228b1af249d8,1494768,103,Eliteserien,2026,Regular Season - 22,2026-09-18T17:00:00+00:00,2026-09-18T20:51:05Z,68,,333,Sarpsborg 08 FF,39263,Olaus Jair Skarsem,340611,Andreas Hansen,subst,Substitution 4,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
3e1896dbe669218c86bf5ba2b27581e2e7592ad21b74651c68e82fe71bd9b8f3,1558635,144,Jupiler Pro League,2026,Regular Season - 7,2026-09-18T18:45:00+00:00,2026-09-18T22:50:46Z,90,1,631,Gent,328978,Momodou Sonko,436990,Abdoul Ayinde,subst,Substitution 5,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
3fb16e44cde6cca4230413c052ae965546ba57c080309506f38650df82b30caf,1561935,218,Bundesliga,2026,Regular Season - 7,2026-09-18T17:30:00+00:00,2026-09-18T20:51:05Z,47,,1398,WSG Wattens,202957,Marco Boras,,,Card,Yellow Card,Foul,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
40112e45035d6dae5a1cedd1bee0e97bd54a2564366248a7c3413fd719ace068,1553180,106,Ekstraklasa,2026,Regular Season - 9,2026-09-18T18:30:00+00:00,2026-09-18T20:51:05Z,60,,337,Slask Wroclaw,100086,Alex Timossi Andersson,188614,Marc Llinares,subst,Substitution 2,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
4115f387a2d4373280d1e3c2bc294d0c2cad6972136f405620dbe1e1149ffa10,1584418,203,Süper Lig,2026,Regular Season - 6,2026-09-18T17:00:00+00:00,2026-09-18T20:51:05Z,85,,1004,Kasımpaşa,380253,A. Karapo,,,Card,Yellow Card,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
414575be189d8eb1d234012cb582c51bc0079a0b7c66075be02daeeff2cfee76,1552173,88,Eredivisie,2026,Regular Season - 7,2026-09-18T18:00:00+00:00,2026-09-18T20:51:05Z,20,,202,Groningen,392044,Thom Van Bergen,473416,David van der Werff,Goal,Normal Goal,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
4264478a3893a0722aa2cd06d790fee698b78a0561773f217123924d1215d200,1553180,106,Ekstraklasa,2026,Regular Season - 9,2026-09-18T18:30:00+00:00,2026-09-18T20:51:05Z,76,,337,Slask Wroclaw,547605,Adam Ciućka,280320,Eniss Shabani,Goal,Normal Goal,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
431facd0d49a777a55dd100266c36a4faa83ea992bc79cefacaca59a5b48541e,1558635,144,Jupiler Pro League,2026,Regular Season - 7,2026-09-18T18:45:00+00:00,2026-09-18T22:50:46Z,76,,631,Gent,37639,Siebe Van Der Heyden,,,Card,Yellow Card,Foul,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
454663f82a93a6c0701fdfdf01824096c1adcd5b1323353d2707bee162b068d7,1584418,203,Süper Lig,2026,Regular Season - 6,2026-09-18T17:00:00+00:00,2026-09-18T20:51:05Z,71,,1004,Kasımpaşa,461,A. Kol,329642,T. Diarra,subst,Substitution 3,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
482821364992861bc56dc9bf681165f1593b81bc5bb3fe6c9493d4b4811ecdc8,1575167,78,Bundesliga,2026,Regular Season - 4,2026-09-18T18:30:00+00:00,2026-09-18T20:51:05Z,38,,182,Union Berlin,25406,Felix Uduokhai,,,Card,Yellow Card,Dissent,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
49508c1bfd4b39dd73a84fccd50ec902405f9d5bb01ab6c625c904fb40bf94f7,1552173,88,Eredivisie,2026,Regular Season - 7,2026-09-18T18:00:00+00:00,2026-09-18T20:51:05Z,80,,193,PEC Zwolle,38780,Koen Kostons,626651,Gilles Van Der Wal,subst,Substitution 4,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
4a8b814088c7f86ca57237a6759fd2d8e3e09a253038e609bad752450a415e97,1552173,88,Eredivisie,2026,Regular Season - 7,2026-09-18T18:00:00+00:00,2026-09-18T20:51:05Z,66,,202,Groningen,191979,Jacob Ondrejka,402272,Tygo Land,subst,Substitution 1,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
4c3f41e7ae8e901f7927548fdc5c3e6cc3c69d311f2ff88dc5b8cfaac197ef5f,1561935,218,Bundesliga,2026,Regular Season - 7,2026-09-18T17:30:00+00:00,2026-09-18T20:51:05Z,68,,1398,WSG Wattens,323132,Moritz Wels,7623,Husein Balić,subst,Substitution 2,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
4c950f562aacb23954b96f2b2859879caf13e9c3888dbd7298ccd17de6a49cc3,1584418,203,Süper Lig,2026,Regular Season - 6,2026-09-18T17:00:00+00:00,2026-09-18T20:51:05Z,30,,1004,Kasımpaşa,10563,C. Winck,,,Card,Yellow Card,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
4d5068927359871b51226229e9af8d0ba299f2822846f1a875993b87a1a3118a,1557408,39,Premier League,2026,Regular Season - 5,2026-09-18T19:00:00+00:00,2026-09-18T22:50:46Z,71,,49,Chelsea,22094,Wesley Fofana,366735,Josh Acheampong,subst,Substitution 2,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
4e60822fa8ae72ac59ddcc07490a5bcb495d917fccccd1373a404621a3122489,1494768,103,Eliteserien,2026,Regular Season - 22,2026-09-18T17:00:00+00:00,2026-09-18T20:51:05Z,74,,333,Sarpsborg 08 FF,48129,Aimar Sher,8477,Sigurd Rosted,subst,Substitution 5,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
4f10c4be65e08fe012cd1b8b5b1cc7064d088620880e97c11a17e2e3f93e0207,1558635,144,Jupiler Pro League,2026,Regular Season - 7,2026-09-18T18:45:00+00:00,2026-09-18T22:50:46Z,27,,631,Gent,338144,Mouhamed El Bachir Ngom,60353,Maksim Paskotsi,subst,Substitution 1,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
5243e4cd771e09347a4904d21cb0f2141d62c8e248ddecd60bdcbe618f5d6995,1561935,218,Bundesliga,2026,Regular Season - 7,2026-09-18T17:30:00+00:00,2026-09-18T20:51:05Z,68,,1398,WSG Wattens,445880,Marc Striednig,7210,Nemanja Celic,subst,Substitution 1,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
