international_fixture_id,international_kickoff_utc,window_id,national_team_id,national_team_name,player_id,player_name,pbk16_team_id,pbk16_team_name,pbk16_provider_league_id,appearance_confirmed,minutes_confirmed,confirmed_minutes,window_direct_evidence_fixture_count_through_event,window_confirmed_appearances_through_event,window_minutes_confirmed_fixture_count_through_event,window_confirmed_minutes_through_event,next_domestic_fixture_id,next_domestic_kickoff_utc,next_domestic_home_team_id,next_domestic_home_team,next_domestic_away_team_id,next_domestic_away_team,club_side,opponent_team_id,opponent_team,hours_to_next_domestic_fixture,days_to_next_domestic_fixture,return_within_72h,return_within_96h,return_within_7d,return_fixture_status,return_fixture_played_only,formal_callup_inferred,travel_inferred,current_club_used,fuzzy_matching_used,provider_calls,research_only,operational_betting_authority,creates_signal,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
1366323,2025-11-17T19:45:00+00:00,2025_NOV,1118,Netherlands,249,Donyell Malen,66,Aston Villa,39,true,true,90,1,1,1,90,1379084,2025-11-23T14:00:00+00:00,63,Leeds,66,Aston Villa,AWAY,63,Leeds,138.250,5.7604,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1469293,2025-11-18T10:15:00+00:00,2025_NOV,12,Japan,32887,Yukinari Sugawara,162,Werder Bremen,78,true,true,45,1,1,1,45,1388404,2025-11-23T14:30:00+00:00,173,RB Leipzig,162,Werder Bremen,AWAY,173,RB Leipzig,124.250,5.1771,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1323371,2025-11-18T19:45:00+00:00,2025_NOV,775,Austria,1095,Xaver Schlager,173,RB Leipzig,78,true,true,68,1,1,1,68,1388404,2025-11-23T14:30:00+00:00,173,RB Leipzig,162,Werder Bremen,HOME,162,Werder Bremen,114.750,4.7812,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1323374,2025-11-18T19:45:00+00:00,2025_NOV,767,Wales,129711,Brennan Johnson,47,Tottenham,39,true,true,90,1,1,1,90,1379079,2025-11-23T16:30:00+00:00,42,Arsenal,47,Tottenham,AWAY,42,Arsenal,116.750,4.8646,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1323367,2025-11-18T19:45:00+00:00,2025_NOV,1111,Kosovo,435876,Dion Gallapeni,6962,Widzew Łódź,106,true,true,90,1,1,1,90,1380527,2025-11-23T16:30:00+00:00,6962,Widzew Łódź,346,Korona Kielce,HOME,346,Korona Kielce,116.750,4.8646,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1323369,2025-11-18T19:45:00+00:00,2025_NOV,1117,Greece,26644,Christos Mandas,487,Lazio,135,false,false,,1,0,0,0,1377978,2025-11-23T17:00:00+00:00,487,Lazio,867,Lecce,HOME,867,Lecce,117.250,4.8854,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1366321,2025-11-16T19:45:00+00:00,2025_NOV,768,Italy,30543,Giacomo Raspadori,530,Atletico Madrid,140,false,false,,1,0,0,0,1390944,2025-11-23T17:30:00+00:00,546,Getafe,530,Atletico Madrid,AWAY,546,Getafe,165.750,6.9062,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1323367,2025-11-18T19:45:00+00:00,2025_NOV,15,Switzerland,5,Manuel Akanji,505,Inter,135,true,true,90,1,1,1,90,1377977,2025-11-23T19:45:00+00:00,505,Inter,489,AC Milan,HOME,489,AC Milan,120.000,5.0000,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1323373,2025-11-18T19:45:00+00:00,2025_NOV,1,Belgium,264,Thomas Meunier,79,Lille,61,true,true,90,1,1,1,90,1387809,2025-11-23T19:45:00+00:00,79,Lille,114,Paris FC,HOME,114,Paris FC,120.000,5.0000,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1323371,2025-11-18T19:45:00+00:00,2025_NOV,775,Austria,711,Stefan Posch,895,Como,135,true,true,21,1,1,1,21,1377981,2025-11-24T17:30:00+00:00,503,Torino,895,Como,AWAY,503,Torino,141.750,5.9062,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1323367,2025-11-18T19:45:00+00:00,2025_NOV,1111,Kosovo,616,Arijanet Murić,488,Sassuolo,135,true,true,90,1,1,1,90,1377980,2025-11-24T19:45:00+00:00,488,Sassuolo,801,Pisa,HOME,801,Pisa,144.000,6.0000,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1323362,2025-11-16T17:00:00+00:00,2025_NOV,14,Serbia,1489,Nemanja Gudelj,536,Sevilla,140,true,true,5,1,1,1,5,1390943,2025-11-24T20:00:00+00:00,540,Espanyol,536,Sevilla,AWAY,540,Espanyol,195.000,8.1250,false,false,false,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1366321,2025-11-16T19:45:00+00:00,2025_NOV,1090,Norway,19172,Ørjan Nyland,536,Sevilla,140,true,true,90,1,1,1,90,1390943,2025-11-24T20:00:00+00:00,540,Espanyol,536,Sevilla,AWAY,540,Espanyol,192.250,8.0104,false,false,false,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1323369,2025-11-18T19:45:00+00:00,2025_NOV,1117,Greece,557,Odysseas Vlachodimos,536,Sevilla,140,true,true,90,1,1,1,90,1390943,2025-11-24T20:00:00+00:00,540,Espanyol,536,Sevilla,AWAY,540,Espanyol,144.250,6.0104,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
