market_key,api_fixture_id,league,league_id,captured_at_utc,kickoff_utc,home_team,away_team,team_side,team_name,line,bet_id,bet_name,open_b365_over,open_b365_under,open_p_over,open_p_under,status,source
TT|1557405|A|0.5,1557405,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T19:00:00Z,Sunderland,Arsenal,A,Arsenal,0.5,17,Total - Away,1.14,5.5,0.82831325,0.17168675,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557405|A|1.5,1557405,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T19:00:00Z,Sunderland,Arsenal,A,Arsenal,1.5,17,Total - Away,1.67,2.1,0.55702918,0.44297082,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557405|A|2.5,1557405,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T19:00:00Z,Sunderland,Arsenal,A,Arsenal,2.5,17,Total - Away,3.25,1.33,0.29039301,0.70960699,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557405|A|3.5,1557405,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T19:00:00Z,Sunderland,Arsenal,A,Arsenal,3.5,17,Total - Away,7.0,1.1,0.13580247,0.86419753,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557405|A|4.5,1557405,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T19:00:00Z,Sunderland,Arsenal,A,Arsenal,4.5,17,Total - Away,17.0,1.02,0.05660377,0.94339623,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557400|H|0.5,1557400,Premier League,39,2026-09-11T13:29:19Z,2026-09-13T13:00:00Z,Coventry,Brighton,H,Coventry,0.5,16,Total - Home,1.4,2.75,0.66265060,0.33734940,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557400|H|1.5,1557400,Premier League,39,2026-09-11T13:29:19Z,2026-09-13T13:00:00Z,Coventry,Brighton,H,Coventry,1.5,16,Total - Home,3.0,1.36,0.31192661,0.68807339,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557400|H|2.5,1557400,Premier League,39,2026-09-11T13:29:19Z,2026-09-13T13:00:00Z,Coventry,Brighton,H,Coventry,2.5,16,Total - Home,8.0,1.08,0.11894273,0.88105727,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557400|H|3.5,1557400,Premier League,39,2026-09-11T13:29:19Z,2026-09-13T13:00:00Z,Coventry,Brighton,H,Coventry,3.5,16,Total - Home,23.0,1.01,0.04206581,0.95793419,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557400|A|0.5,1557400,Premier League,39,2026-09-11T13:29:19Z,2026-09-13T13:00:00Z,Coventry,Brighton,A,Brighton,0.5,17,Total - Away,1.17,5.0,0.81037277,0.18962723,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557400|A|1.5,1557400,Premier League,39,2026-09-11T13:29:19Z,2026-09-13T13:00:00Z,Coventry,Brighton,A,Brighton,1.5,17,Total - Away,1.8,1.91,0.51482480,0.48517520,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557400|A|2.5,1557400,Premier League,39,2026-09-11T13:29:19Z,2026-09-13T13:00:00Z,Coventry,Brighton,A,Brighton,2.5,17,Total - Away,3.5,1.28,0.26778243,0.73221757,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557400|A|3.5,1557400,Premier League,39,2026-09-11T13:29:19Z,2026-09-13T13:00:00Z,Coventry,Brighton,A,Brighton,3.5,17,Total - Away,9.0,1.07,0.10625621,0.89374379,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557400|A|4.5,1557400,Premier League,39,2026-09-11T13:29:19Z,2026-09-13T13:00:00Z,Coventry,Brighton,A,Brighton,4.5,17,Total - Away,21.0,1.01,0.04588823,0.95411177,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557404|H|0.5,1557404,Premier League,39,2026-09-11T13:29:19Z,2026-09-13T15:30:00Z,Manchester United,Manchester City,H,Manchester United,0.5,16,Total - Home,1.25,3.75,0.75000000,0.25000000,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557404|H|1.5,1557404,Premier League,39,2026-09-11T13:29:19Z,2026-09-13T15:30:00Z,Manchester United,Manchester City,H,Manchester United,1.5,16,Total - Home,2.2,1.62,0.42408377,0.57591623,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557404|H|2.5,1557404,Premier League,39,2026-09-11T13:29:19Z,2026-09-13T15:30:00Z,Manchester United,Manchester City,H,Manchester United,2.5,16,Total - Home,5.0,1.17,0.18962723,0.81037277,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557404|H|3.5,1557404,Premier League,39,2026-09-11T13:29:19Z,2026-09-13T15:30:00Z,Manchester United,Manchester City,H,Manchester United,3.5,16,Total - Home,13.0,1.04,0.07407407,0.92592593,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557404|A|0.5,1557404,Premier League,39,2026-09-11T13:29:19Z,2026-09-13T15:30:00Z,Manchester United,Manchester City,A,Manchester City,0.5,17,Total - Away,1.14,5.5,0.82831325,0.17168675,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557404|A|1.5,1557404,Premier League,39,2026-09-11T13:29:19Z,2026-09-13T15:30:00Z,Manchester United,Manchester City,A,Manchester City,1.5,17,Total - Away,1.73,2.0,0.53619303,0.46380697,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557404|A|2.5,1557404,Premier League,39,2026-09-11T13:29:19Z,2026-09-13T15:30:00Z,Manchester United,Manchester City,A,Manchester City,2.5,17,Total - Away,3.4,1.3,0.27659574,0.72340426,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557404|A|3.5,1557404,Premier League,39,2026-09-11T13:29:19Z,2026-09-13T15:30:00Z,Manchester United,Manchester City,A,Manchester City,3.5,17,Total - Away,8.0,1.08,0.11894273,0.88105727,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557404|A|4.5,1557404,Premier League,39,2026-09-11T13:29:19Z,2026-09-13T15:30:00Z,Manchester United,Manchester City,A,Manchester City,4.5,17,Total - Away,19.0,1.02,0.05094905,0.94905095,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557402|H|0.5,1557402,Premier League,39,2026-09-11T13:29:19Z,2026-09-14T19:00:00Z,Leeds,Newcastle,H,Leeds,0.5,16,Total - Home,1.22,4.0,0.76628352,0.23371648,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557402|H|1.5,1557402,Premier League,39,2026-09-11T13:29:19Z,2026-09-14T19:00:00Z,Leeds,Newcastle,H,Leeds,1.5,16,Total - Home,2.1,1.67,0.44297082,0.55702918,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557402|H|2.5,1557402,Premier League,39,2026-09-11T13:29:19Z,2026-09-14T19:00:00Z,Leeds,Newcastle,H,Leeds,2.5,16,Total - Home,4.5,1.18,0.20774648,0.79225352,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557402|H|3.5,1557402,Premier League,39,2026-09-11T13:29:19Z,2026-09-14T19:00:00Z,Leeds,Newcastle,H,Leeds,3.5,16,Total - Home,13.0,1.04,0.07407407,0.92592593,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557402|H|4.5,1557402,Premier League,39,2026-09-11T13:29:19Z,2026-09-14T19:00:00Z,Leeds,Newcastle,H,Leeds,4.5,16,Total - Home,29.0,1.01,0.03365545,0.96634455,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557402|A|0.5,1557402,Premier League,39,2026-09-11T13:29:19Z,2026-09-14T19:00:00Z,Leeds,Newcastle,A,Newcastle,0.5,17,Total - Away,1.28,3.5,0.73221757,0.26778243,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557402|A|1.5,1557402,Premier League,39,2026-09-11T13:29:19Z,2026-09-14T19:00:00Z,Leeds,Newcastle,A,Newcastle,1.5,17,Total - Away,2.38,1.53,0.39130435,0.60869565,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557402|A|2.5,1557402,Premier League,39,2026-09-11T13:29:19Z,2026-09-14T19:00:00Z,Leeds,Newcastle,A,Newcastle,2.5,17,Total - Away,6.0,1.12,0.15730337,0.84269663,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557402|A|3.5,1557402,Premier League,39,2026-09-11T13:29:19Z,2026-09-14T19:00:00Z,Leeds,Newcastle,A,Newcastle,3.5,17,Total - Away,17.0,1.02,0.05660377,0.94339623,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1570381|H|0.5,1570381,La Liga,140,2026-09-11T13:29:19Z,2026-09-11T19:00:00Z,Sevilla,Valencia,H,Sevilla,0.5,16,Total - Home,1.25,3.75,0.75000000,0.25000000,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1570381|H|1.5,1570381,La Liga,140,2026-09-11T13:29:19Z,2026-09-11T19:00:00Z,Sevilla,Valencia,H,Sevilla,1.5,16,Total - Home,2.2,1.62,0.42408377,0.57591623,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1570381|H|2.5,1570381,La Liga,140,2026-09-11T13:29:19Z,2026-09-11T19:00:00Z,Sevilla,Valencia,H,Sevilla,2.5,16,Total - Home,5.0,1.17,0.18962723,0.81037277,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1570381|H|3.5,1570381,La Liga,140,2026-09-11T13:29:19Z,2026-09-11T19:00:00Z,Sevilla,Valencia,H,Sevilla,3.5,16,Total - Home,13.0,1.04,0.07407407,0.92592593,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
