api_fixture_id,league,league_id,locked_at_utc,kickoff_utc,close_observed_at_utc,close_gap_minutes,home_team,away_team,bet_id,bet_name,line,open_p_f1_0,open_p_f2_0,close_p_f1_0,close_p_f2_0,move_f1_0_pp,move_f2_0_pp,bet365_close_f1_0,bet365_close_f2_0,user_bookmaker,user_close_f1_0,user_close_f2_0,status,note
1552166,Eredivisie,88,2026-09-13T12:42:54Z,2026-09-13T12:30:00Z,2026-09-13T06:44:59Z,345.0,Heerenveen,Telstar,4,Asian Handicap,0,0.73651452,0.26348548,0.73651452,0.26348548,0.00000000,-0.00000000,1.27,3.55,Marathonbet,1.23,3.42,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1494763,Eliteserien,103,2026-09-13T12:42:54Z,2026-09-13T12:30:00Z,2026-09-13T06:44:59Z,345.0,Viking,Kristiansund BK,4,Asian Handicap,0,0.86075949,0.13924051,0.84803256,0.15196744,-0.01272693,0.01272693,1.12,6.25,Marathonbet,1.05,6.7,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1553171,Ekstraklasa,106,2026-09-13T12:42:54Z,2026-09-13T10:15:00Z,2026-09-13T06:44:59Z,210.0,Wisla Plock,Cracovia Krakow,4,Asian Handicap,0,0.53157895,0.46842105,0.52631579,0.47368421,-0.00526316,0.00526316,1.8,2.0,Marathonbet,1.77,1.97,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1557400,Premier League,39,2026-09-13T18:41:20Z,2026-09-13T13:00:00Z,2026-09-13T12:42:54Z,17.1,Coventry,Brighton,4,Asian Handicap,0,0.32941176,0.67058824,0.34052758,0.65947242,0.01111582,-0.01111582,2.75,1.42,Marathonbet,2.8,1.37,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1557404,Premier League,39,2026-09-13T18:41:20Z,2026-09-13T15:30:00Z,2026-09-13T12:42:54Z,167.1,Manchester United,Manchester City,4,Asian Handicap,0,0.40203562,0.59796438,0.41860465,0.58139535,0.01656903,-0.01656903,2.25,1.62,Marathonbet,2.31,1.64,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1570376,La Liga,140,2026-09-13T18:41:20Z,2026-09-13T14:15:00Z,2026-09-13T12:42:54Z,92.1,Levante,Barcelona,4,Asian Handicap,0,0.16545718,0.83454282,0.16545718,0.83454282,0.00000000,-0.00000000,5.75,1.14,Marathonbet,7.1,1.04,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1570375,La Liga,140,2026-09-13T18:41:20Z,2026-09-13T16:30:00Z,2026-09-13T12:42:54Z,227.1,Getafe,Deportivo La Coruna,4,Asian Handicap,0,0.58139535,0.41860465,0.57142857,0.42857143,-0.00996678,0.00996678,1.65,2.2,Marathonbet,1.71,2.14,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1550122,Serie A,135,2026-09-13T18:41:20Z,2026-09-13T13:00:00Z,2026-09-13T12:42:54Z,17.1,Lecce,Monza,4,Asian Handicap,0,0.51295337,0.48704663,0.48051948,0.51948052,-0.03243389,0.03243389,2.0,1.85,Marathonbet,1.97,1.84,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1550123,Serie A,135,2026-09-13T18:41:20Z,2026-09-13T16:00:00Z,2026-09-13T12:42:54Z,197.1,Napoli,Bologna,4,Asian Handicap,0,0.72631579,0.27368421,0.67058824,0.32941176,-0.05572755,0.05572755,1.4,2.85,Marathonbet,1.35,2.89,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1575159,Bundesliga,78,2026-09-13T18:41:20Z,2026-09-13T13:30:00Z,2026-09-13T12:42:54Z,47.1,RB Leipzig,Hamburger SV,4,Asian Handicap,0,0.85106383,0.14893617,0.84803256,0.15196744,-0.00303127,0.00303127,1.12,6.25,Marathonbet,1.09,5.5,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
