factor,bucket,scope_type,scope_value,seasons_with_matches,total_matches,min_season_matches,max_season_matches,home_roi_observed_seasons,home_roi_positive_seasons,draw_roi_observed_seasons,draw_roi_positive_seasons,away_roi_observed_seasons,away_roi_positive_seasons,over25_roi_observed_seasons,over25_roi_positive_seasons,under25_roi_observed_seasons,under25_roi_positive_seasons,home_calibration_observed_seasons,home_calibration_positive_seasons,away_calibration_observed_seasons,away_calibration_positive_seasons,over25_calibration_observed_seasons,over25_calibration_positive_seasons,research_only,operational_betting_authority,creates_signal,promotes_factor
NONLEAGUE_72H_SIDE,HOME_ONLY,LEAGUE,B1,9,162,4,27,7,2,7,3,7,3,7,4,7,1,7,4,7,2,7,6,true,false,false,false
NONLEAGUE_72H_SIDE,HOME_ONLY,LEAGUE,D1,9,198,15,29,7,3,7,4,7,3,7,2,7,1,7,3,7,2,7,5,true,false,false,false
NONLEAGUE_72H_SIDE,HOME_ONLY,LEAGUE,DNK,9,139,8,19,9,5,9,2,9,3,0,0,0,0,9,5,9,4,0,0,true,false,false,false
NONLEAGUE_72H_SIDE,HOME_ONLY,LEAGUE,E0,9,260,17,44,7,3,7,3,7,4,7,2,7,2,7,3,7,5,7,4,true,false,false,false
NONLEAGUE_72H_SIDE,HOME_ONLY,LEAGUE,F1,9,188,15,24,7,5,7,0,7,1,7,4,7,2,7,6,7,3,7,5,true,false,false,false
NONLEAGUE_72H_SIDE,HOME_ONLY,LEAGUE,I1,9,175,12,29,7,3,7,5,7,1,7,2,7,4,7,4,7,1,7,2,true,false,false,false
NONLEAGUE_72H_SIDE,HOME_ONLY,LEAGUE,N1,9,168,10,30,7,4,7,2,7,1,7,4,7,3,7,4,7,2,7,4,true,false,false,false
NONLEAGUE_72H_SIDE,HOME_ONLY,LEAGUE,NOR,9,77,3,13,9,4,9,4,9,2,0,0,0,0,9,5,9,1,0,0,true,false,false,false
NONLEAGUE_72H_SIDE,HOME_ONLY,LEAGUE,P1,9,35,2,7,7,4,7,1,7,3,7,2,7,5,7,5,7,4,7,2,true,false,false,false
NONLEAGUE_72H_SIDE,HOME_ONLY,LEAGUE,POL,8,92,8,18,8,4,8,3,8,5,0,0,0,0,8,5,8,4,0,0,true,false,false,false
