api_fixture_id,league,league_id,locked_at_utc,kickoff_utc,close_observed_at_utc,close_gap_minutes,home_team,away_team,open_p_yes,close_p_yes,movement_yes_pp,yes_close_watch,no_close_watch,bet365_close_yes,bet365_close_no,user_bookmaker,user_close_yes,user_close_no,yes_crossing_recorded,no_crossing_recorded,status,note
1570388,La Liga,140,2026-09-15T20:16:28Z,2026-09-15T19:30:00Z,2026-09-15T18:17:31Z,72.5,Elche,Real Madrid,0.53333333,0.53333333,0.00000000,NO,NO,1.75,2.0,Marathonbet,1.73,1.99,YES,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1570384,La Liga,140,2026-09-16T18:18:28Z,2026-09-16T17:00:00Z,2026-09-16T16:16:35Z,43.4,Atletico Madrid,Osasuna,0.52000000,0.46666667,-0.05333333,NO,YES,2.0,1.75,Marathonbet,2.09,1.66,NO,YES,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1570387,La Liga,140,2026-09-16T18:18:28Z,2026-09-16T17:00:00Z,2026-09-16T16:16:35Z,43.4,Deportivo La Coruna,Sevilla,0.48000000,0.50000000,0.02000000,NO,NO,1.91,1.91,Marathonbet,1.84,1.86,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1570385,La Liga,140,2026-09-16T22:15:17Z,2026-09-16T19:30:00Z,2026-09-16T18:18:28Z,71.5,Barcelona,Racing Santander,0.52000000,0.57591623,0.05591623,YES,NO,1.62,2.2,Marathonbet,1.64,2.12,YES,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1570389,La Liga,140,2026-09-16T22:15:17Z,2026-09-16T19:30:00Z,2026-09-16T18:18:28Z,71.5,Levante,Athletic Club,0.53333333,0.55702918,0.02369585,NO,NO,1.67,2.1,Marathonbet,1.6,2.19,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1570386,La Liga,140,2026-09-17T18:19:25Z,2026-09-17T17:00:00Z,2026-09-17T16:17:35Z,42.4,Real Betis,Getafe,0.45333333,0.46666667,0.01333334,NO,NO,2.0,1.75,Marathonbet,1.96,1.75,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1570390,La Liga,140,2026-09-17T20:16:57Z,2026-09-17T19:30:00Z,2026-09-17T18:19:25Z,70.6,Malaga,Villarreal,0.58900524,0.58900524,-0.00000000,NO,NO,1.57,2.25,Marathonbet,1.53,2.33,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1550133,Serie A,135,2026-09-18T20:15:45Z,2026-09-18T18:45:00Z,2026-09-18T18:17:57Z,27.1,Monza,Sassuolo,0.54666667,0.58900524,0.04233857,YES,NO,1.57,2.25,Marathonbet,1.56,2.27,YES,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1552769,Ligue 1,61,2026-09-18T20:15:45Z,2026-09-18T18:45:00Z,2026-09-18T18:17:57Z,27.1,Monaco,Lens,0.64532020,0.60869565,-0.03662455,NO,YES,1.53,2.38,Marathonbet,1.51,2.39,NO,YES,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1557408,Premier League,39,2026-09-18T20:15:45Z,2026-09-18T19:00:00Z,2026-09-18T18:17:57Z,42.0,Brentford,Chelsea,0.60869565,0.64532020,0.03662455,YES,NO,1.44,2.62,Marathonbet,1.41,2.69,YES,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1570397,La Liga,140,2026-09-18T20:15:45Z,2026-09-18T19:00:00Z,2026-09-18T18:17:57Z,42.0,Espanyol,Elche,0.53333333,0.54666667,0.01333334,NO,NO,1.7,2.05,Marathonbet,1.67,2.08,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1575167,Bundesliga,78,2026-09-18T20:15:45Z,2026-09-18T18:30:00Z,2026-09-18T18:17:57Z,12.1,Bayern München,Union Berlin,0.53333333,0.48000000,-0.05333333,NO,YES,1.95,1.8,Marathonbet,1.78,1.93,NO,YES,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1557416,Premier League,39,2026-09-19T12:19:44Z,2026-09-19T11:30:00Z,2026-09-19T10:15:06Z,74.9,Tottenham,Aston Villa,0.53333333,0.57591623,0.04258290,YES,NO,1.62,2.2,Marathonbet,1.6,2.19,YES,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1570399,La Liga,140,2026-09-19T12:19:44Z,2026-09-19T12:00:00Z,2026-09-19T10:15:06Z,104.9,Osasuna,Rayo Vallecano,0.52000000,0.52000000,-0.00000000,NO,NO,1.8,1.95,Marathonbet,1.74,1.98,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
