venue_id,venue_name,venue_city,team_country,latitude,longitude,elevation_m,geocoded_name,geocoded_country,geocoded_country_code,geocoded_admin1,geocoded_population,geocoded_feature_code,geocode_quality_status,geocode_name_match_quality,geocode_query_used,resolver_version,captured_at_utc,source
720,Volksparkstadion,Hamburg,Germany,53.551,9.993,9,Hamburg,Germany,DE,Free and Hanseatic City of Hamburg,1845229,PPLA,VERIFIED_LOCALITY_V4,3,Hamburg,PBK_GEOCODE_V4,2026-09-25T11:35:30Z,Open-Meteo Geocoding API city proxy v4
724,PreZero Arena,Sinsheim,Germany,49.253,8.879,162,Sinsheim,Germany,DE,Baden-Wurttemberg,35219,PPL,VERIFIED_LOCALITY_V4,3,Sinsheim,PBK_GEOCODE_V4,2026-09-25T14:31:55Z,Open-Meteo Geocoding API city proxy v4
731,RheinEnergieSTADION,Köln,Germany,50.933,6.95,58,Cologne,Germany,DE,North Rhine-Westphalia,963395,PPLA2,VERIFIED_LOCALITY_V4,3,Köln,PBK_GEOCODE_V4,2026-09-25T14:29:56Z,Open-Meteo Geocoding API city proxy v4
738,Red Bull Arena,Leipzig,Germany,51.34,12.371,116,Leipzig,Germany,DE,Saxony,504971,PPLA3,VERIFIED_LOCALITY_V4,3,Leipzig,PBK_GEOCODE_V4,2026-09-25T14:31:55Z,Open-Meteo Geocoding API city proxy v4
741,VELTINS-Arena,Gelsenkirchen,Germany,51.505,7.097,48,Gelsenkirchen,Germany,DE,North Rhine-Westphalia,270028,PPLA3,VERIFIED_LOCALITY_V4,3,Gelsenkirchen,PBK_GEOCODE_V4,2026-09-25T11:36:10Z,Open-Meteo Geocoding API city proxy v4
748,Stadion An der Alten Försterei,Berlin,Germany,52.524,13.411,74,Berlin,Germany,DE,State of Berlin,3426354,PPLC,VERIFIED_LOCALITY_V4,3,Berlin,PBK_GEOCODE_V4,2026-09-25T14:27:54Z,Open-Meteo Geocoding API city proxy v4
879,Gewiss Stadium,Bergamo,Italy,45.696,9.667,249,Bergamo,Italy,IT,Lombardy,121200,PPLA2,VERIFIED_LOCALITY_V4,3,Bergamo,PBK_GEOCODE_V4,2026-09-25T16:36:03Z,Open-Meteo Geocoding API city proxy v4
881,Stadio Renato Dall'Ara,Bologna,Italy,44.494,11.339,54,Bologna,Italy,IT,Emilia-Romagna,394843,PPLA,VERIFIED_LOCALITY_V4,3,Bologna,PBK_GEOCODE_V4,2026-09-25T11:36:10Z,Open-Meteo Geocoding API city proxy v4
902,Stadio Artemio Franchi,Firenze,Italy,43.779,11.246,50,Florence,Italy,IT,Tuscany,367150,PPLA,VERIFIED_LOCALITY_V4,3,Florence,PBK_GEOCODE_V4,2026-09-25T11:36:10Z,Open-Meteo Geocoding API city proxy v4
904,Stadio Benito Stirpe,Frosinone,Italy,41.64,13.341,291,Frosinone,Italy,IT,Lazio,44505,PPLA2,VERIFIED_LOCALITY_V4,3,Frosinone,PBK_GEOCODE_V4,2026-09-25T11:36:10Z,Open-Meteo Geocoding API city proxy v4
907,Stadio Giuseppe Meazza,Milano,Italy,45.464,9.19,122,Milan,Italy,IT,Lombardy,1371498,PPLA,VERIFIED_LOCALITY_V4,3,Milan,PBK_GEOCODE_V4,2026-09-25T11:36:10Z,Open-Meteo Geocoding API city proxy v4
909,Allianz Stadium,Torino,Italy,45.07,7.687,239,Turin,Italy,IT,Piedmont,847287,PPLA,VERIFIED_LOCALITY_V4,3,Torino,PBK_GEOCODE_V4,2026-09-25T11:36:10Z,Open-Meteo Geocoding API city proxy v4
910,Stadio Olimpico,Roma,Italy,41.892,12.511,20,Rome,Italy,IT,Lazio,2318895,PPLC,VERIFIED_LOCALITY_V4,3,Rome,PBK_GEOCODE_V4,2026-09-25T11:36:10Z,Open-Meteo Geocoding API city proxy v4
911,Stadio Comunale Via del Mare,Lecce,Italy,40.355,18.172,49,Lecce,Italy,IT,Apulia,80695,PPLA2,VERIFIED_LOCALITY_V4,3,Lecce,PBK_GEOCODE_V4,2026-09-25T15:34:58Z,Open-Meteo Geocoding API city proxy v4
921,Stadio Ennio Tardini,Parma,Italy,44.799,10.326,57,Parma,Italy,IT,Emilia-Romagna,198292,PPLA2,VERIFIED_LOCALITY_V4,3,Parma,PBK_GEOCODE_V4,2026-09-25T11:36:10Z,Open-Meteo Geocoding API city proxy v4
935,MAPEI Stadium - Città del Tricolore,Reggio Emilia,Italy,44.698,10.631,58,Reggio Emilia,Italy,IT,Emilia-Romagna,171944,PPLA2,VERIFIED_LOCALITY_V4,3,Reggio Emilia,PBK_GEOCODE_V4,2026-09-25T15:39:03Z,Open-Meteo Geocoding API city proxy v4
943,Stadio Olimpico Grande Torino,Torino,Italy,45.07,7.687,239,Turin,Italy,IT,Piedmont,847287,PPLA,VERIFIED_LOCALITY_V4,3,Torino,PBK_GEOCODE_V4,2026-09-25T15:39:03Z,Open-Meteo Geocoding API city proxy v4
948,Stadio Pierluigi Penzo,Venezia,Italy,45.437,12.333,2,Venice,Italy,IT,Veneto,51298,PPLA,VERIFIED_LOCALITY_V4,3,Venice,PBK_GEOCODE_V4,2026-09-25T11:36:10Z,Open-Meteo Geocoding API city proxy v4
