api_fixture_id,league,league_id,captured_at_utc,kickoff_utc,minutes_to_kickoff,home_team,away_team,bet_id,bet_name,b365_1x,b365_x2,b365_12,p_1x,p_x2,p_12,open_p_1x,open_p_x2,open_p_12,move_1x_pp,move_x2_pp,move_12_pp,user_bookmaker,user_1x,user_x2,user_12,api_odds_update_utc
1549020,Danish Superliga,119,2026-09-11T13:40:08Z,2026-09-13T14:00:00Z,2899.9,Randers FC,Odense,12,Double Chance,1.4,1.53,1.3,0.33422954,0.30583095,0.35993951,0.33422954,0.30583095,0.35993951,0.00000000,0.00000000,-0.00000000,Marathonbet,1.33,1.65,1.28,2026-09-11T13:07:17+00:00
1549019,Danish Superliga,119,2026-09-11T13:40:08Z,2026-09-13T16:00:00Z,3019.9,FC Nordsjaelland,Aarhus,12,Double Chance,1.25,1.95,1.22,0.37514784,0.24047938,0.38437278,0.37514784,0.24047938,0.38437278,-0.00000000,0.00000000,0.00000000,Marathonbet,1.24,1.94,1.23,2026-09-11T13:07:17+00:00
1547629,A Lyga,362,2026-09-11T13:40:08Z,2026-09-13T11:30:00Z,2749.9,Panevėžys,Kauno Žalgiris,12,Double Chance,2.25,1.12,1.18,0.20342949,0.40867531,0.38789521,0.20342949,0.40867531,0.38789521,-0.00000000,-0.00000000,-0.00000000,Marathonbet,2.21,1.09,1.17,2026-09-11T12:30:45+00:00
1547631,A Lyga,362,2026-09-11T13:40:08Z,2026-09-13T14:00:00Z,2899.9,Šiauliai,Hegelmann Litauen,12,Double Chance,1.44,1.44,1.25,0.31725888,0.31725888,0.36548223,0.31725888,0.31725888,0.36548223,0.00000000,0.00000000,0.00000000,Marathonbet,1.44,1.39,1.25,2026-09-11T12:30:45+00:00
1547630,A Lyga,362,2026-09-11T13:40:08Z,2026-09-13T15:45:00Z,3004.9,Suduva Marijampole,FK Zalgiris Vilnius,12,Double Chance,1.5,1.44,1.25,0.30848329,0.32133676,0.37017995,0.30848329,0.32133676,0.37017995,0.00000000,0.00000000,-0.00000000,Marathonbet,1.45,1.36,1.26,2026-09-11T12:30:45+00:00
1515923,Virsliga,365,2026-09-11T13:40:08Z,2026-09-11T14:00:00Z,19.9,Ogre United,FK Liepaja,12,Double Chance,2.15,1.17,1.17,0.21389397,0.39305302,0.39305302,0.21389397,0.39305302,0.39305302,-0.00000000,-0.00000000,-0.00000000,Marathonbet,2.11,1.13,1.16,2026-09-11T12:29:15+00:00
1515921,Virsliga,365,2026-09-11T13:40:08Z,2026-09-11T15:00:00Z,79.9,Riga,Auda,12,Double Chance,1.08,2.75,1.12,0.42426580,0.16662075,0.40911345,0.42426580,0.16662075,0.40911345,-0.00000000,0.00000000,-0.00000000,Marathonbet,1.02,2.92,1.11,2026-09-11T12:00:44+00:00
1515920,Virsliga,365,2026-09-11T13:40:08Z,2026-09-12T11:00:00Z,1279.9,Grobiņa,FS Jelgava,12,Double Chance,1.44,1.4,1.28,0.31710079,0.32616082,0.35673839,0.31710079,0.32616082,0.35673839,0.00000000,-0.00000000,0.00000000,Marathonbet,1.45,1.38,1.25,2026-09-11T12:29:15+00:00
1515922,Virsliga,365,2026-09-11T13:40:08Z,2026-09-13T11:00:00Z,2719.9,BFC Daugavpils,Rīgas FS,12,Double Chance,3.2,1.06,1.11,0.14489077,0.43740610,0.41770313,0.14489077,0.43740610,0.41770313,0.00000000,0.00000000,-0.00000000,Marathonbet,2.88,1.03,1.11,2026-09-11T12:30:46+00:00
1552162,Eredivisie,88,2026-09-11T13:40:08Z,2026-09-11T18:00:00Z,259.9,AZ Alkmaar,Willem II,12,Double Chance,1.03,5.5,1.08,0.46707660,0.08747071,0.44545269,0.46707660,0.08747071,0.44545269,0.00000000,-0.00000000,-0.00000000,Marathonbet,,,,2026-09-11T12:00:44+00:00
