api_fixture_id,captured_at_utc,country,league,api_league_id,kickoff_utc,home_team_id,home_team,away_team_id,away_team,b365_home,b365_draw,b365_away,api_update_utc,source,fixture_status_at_capture
1584411,2026-09-11T12:29:59Z,Turkey,Super Lig,203,2026-09-12T14:00:00+00:00,3603,Samsunspor,6343,Çorum FK,2.0,3.4,3.5,2026-09-11T10:07:14+00:00,Stage71 first complete Bet365 1X2 capture,
1584410,2026-09-11T12:29:59Z,Turkey,Super Lig,203,2026-09-12T17:00:00+00:00,607,Konyaspor,998,Trabzonspor,3.6,3.5,1.95,2026-09-11T10:07:14+00:00,Stage71 first complete Bet365 1X2 capture,
1584403,2026-09-11T12:29:59Z,Turkey,Super Lig,203,2026-09-12T17:00:00+00:00,996,Alanyaspor,994,Göztepe,2.15,3.4,3.1,2026-09-11T10:07:14+00:00,Stage71 first complete Bet365 1X2 capture,
1556642,2026-09-11T12:29:59Z,Scotland,Scottish Premiership,179,2026-09-15T18:45:00+00:00,249,Hibernian,250,Kilmarnock,1.5,4.33,5.5,2026-09-11T02:30:11+00:00,Stage71 first complete Bet365 1X2 capture,
1556643,2026-09-11T12:29:59Z,Scotland,Scottish Premiership,179,2026-09-15T18:45:00+00:00,256,Motherwell,252,Aberdeen,1.83,3.7,3.9,2026-09-11T02:30:11+00:00,Stage71 first complete Bet365 1X2 capture,
1556641,2026-09-11T12:29:59Z,Scotland,Scottish Premiership,179,2026-09-15T18:45:00+00:00,1389,Falkirk,254,Heart Of Midlothian,3.6,3.6,1.95,2026-09-11T02:30:11+00:00,Stage71 first complete Bet365 1X2 capture,
1556665,2026-09-11T12:29:59Z,Scotland,Scottish Premiership,179,2026-09-19T14:00:00+00:00,249,Hibernian,252,Aberdeen,1.75,3.75,4.2,2026-09-09T16:36:26+00:00,Stage71 first complete Bet365 1X2 capture,
1556668,2026-09-11T12:29:59Z,Scotland,Scottish Premiership,179,2026-09-19T14:00:00+00:00,251,ST Mirren,1386,Dundee Utd,2.25,3.5,2.9,2026-09-09T16:36:26+00:00,Stage71 first complete Bet365 1X2 capture,
1570374,2026-09-11T20:08:08Z,Spain,La Liga,140,2026-09-13T12:00:00+00:00,538,Celta Vigo,535,Malaga,1.7,3.7,5.25,2026-09-11T18:17:15+00:00,Stage71 first complete Bet365 1X2 capture,
1575162,2026-09-11T20:08:08Z,Germany,Bundesliga,78,2026-09-12T13:30:00+00:00,170,FC Augsburg,168,Bayer Leverkusen,4.0,4.1,1.8,2026-09-11T18:26:15+00:00,Stage71 first complete Bet365 1X2 capture,
