fixture_id,country,provider_competition_id,competition_name,season,round,kickoff_utc,home_team,away_team,team_id,team_name,player_id,player_name,availability_type,reason,retrieved_at_utc,source_endpoint,temporal_authority,archive_version
1382446,Belgium,144,Jupiler Pro League,2025,Regular Season - 3,2025-08-10T11:30:00+00:00,RAAL La Louvière,Charleroi,5902,RAAL La Louvière,274254,Lucas Bretelle,Missing Fixture,fitness,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382447,Belgium,144,Jupiler Pro League,2025,Regular Season - 3,2025-08-10T14:00:00+00:00,Anderlecht,Zulte Waregem,554,Anderlecht,127418,Killian Sardella,Missing Fixture,hamstring muscle injury,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382447,Belgium,144,Jupiler Pro League,2025,Regular Season - 3,2025-08-10T14:00:00+00:00,Anderlecht,Zulte Waregem,554,Anderlecht,371839,Ilay Camara,Missing Fixture,Hamstring Injury,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382447,Belgium,144,Jupiler Pro League,2025,Regular Season - 3,2025-08-10T14:00:00+00:00,Anderlecht,Zulte Waregem,554,Anderlecht,392147,Zoumana Keita,Missing Fixture,Unknown Injury,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382447,Belgium,144,Jupiler Pro League,2025,Regular Season - 3,2025-08-10T14:00:00+00:00,Anderlecht,Zulte Waregem,600,Zulte Waregem,151502,Atli Barkarson,Missing Fixture,Shoulder injury,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382448,Belgium,144,Jupiler Pro League,2025,Regular Season - 3,2025-08-10T16:30:00+00:00,Standard Liege,Genk,733,Standard Liege,138823,Henry Lawrence,Missing Fixture,Appendectomy,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382448,Belgium,144,Jupiler Pro League,2025,Regular Season - 3,2025-08-10T16:30:00+00:00,Standard Liege,Genk,733,Standard Liege,24865,David Bates,Missing Fixture,Knee injury,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382448,Belgium,144,Jupiler Pro League,2025,Regular Season - 3,2025-08-10T16:30:00+00:00,Standard Liege,Genk,742,Genk,8845,Daan Heymans,Missing Fixture,Ankle Injury,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382449,Belgium,144,Jupiler Pro League,2025,Regular Season - 3,2025-08-10T17:15:00+00:00,Antwerp,OH Leuven,260,OH Leuven,315024,Manuel Osifo,Missing Fixture,Minor Knock,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382449,Belgium,144,Jupiler Pro League,2025,Regular Season - 3,2025-08-10T17:15:00+00:00,Antwerp,OH Leuven,260,OH Leuven,71109,Bryang Kayo,Missing Fixture,Minor Knock,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382449,Belgium,144,Jupiler Pro League,2025,Regular Season - 3,2025-08-10T17:15:00+00:00,Antwerp,OH Leuven,740,Antwerp,198347,Anthony Valencia,Missing Fixture,Ruptured cruciate ligament,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382449,Belgium,144,Jupiler Pro League,2025,Regular Season - 3,2025-08-10T17:15:00+00:00,Antwerp,OH Leuven,740,Antwerp,21999,Bjorn Engels,Missing Fixture,Achilles heel problems,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382449,Belgium,144,Jupiler Pro League,2025,Regular Season - 3,2025-08-10T17:15:00+00:00,Antwerp,OH Leuven,740,Antwerp,8455,Geoffry Hairemans,Missing Fixture,Cruciate ligament injury,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382450,Belgium,144,Jupiler Pro League,2025,Regular Season - 4,2025-08-15T18:45:00+00:00,OH Leuven,Genk,260,OH Leuven,315024,Manuel Osifo,Missing Fixture,Minor Knock,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
