team_id,team_name,player_id,player_name,injury_fixture_id,injury_kickoff_utc,return_fixture_id,return_kickoff_utc,fixtures_between_captured,return_as_starter,prior_player_quality,prior_quality_matches,return_team_points,return_team_goal_diff,temporal_authority,prematch_observation_time_known,validation_authority,research_only
266,KV Mechelen,92974,Tommy St Jago,1382434,2025-08-01T18:45:00+00:00,1382452,2025-08-16T16:15:00+00:00,1,YES,6.37,1,1,0.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
266,KV Mechelen,8741,Ortwin De Wolf,1382462,2025-08-24T11:30:00+00:00,1382467,2025-08-30T14:00:00+00:00,0,YES,5.32,4,3,1.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
5902,RAAL La Louvière,180470,Samuel Gueulette,1382464,2025-08-24T16:30:00+00:00,1382520,2025-10-26T17:30:00+00:00,6,YES,4.785,2,1,0.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
733,Standard Liege,15862,Casper Nielsen,1382436,2025-08-02T16:15:00+00:00,1382448,2025-08-10T16:30:00+00:00,0,YES,,0,3,1.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
733,Standard Liege,198400,Ibe Hautekiet,1382436,2025-08-02T16:15:00+00:00,1382453,2025-08-16T18:45:00+00:00,1,YES,6.5,1,0,-3.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
733,Standard Liege,1715,Boli Bolingoli Mbombo,1382436,2025-08-02T16:15:00+00:00,1382460,2025-08-23T16:15:00+00:00,2,YES,4.96,1,0,-3.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
733,Standard Liege,138823,Henry Lawrence,1382453,2025-08-16T18:45:00+00:00,1382469,2025-08-31T14:00:00+00:00,1,YES,,0,0,-1.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
733,Standard Liege,38128,Mo El Hankouri,1382436,2025-08-02T16:15:00+00:00,1382474,2025-09-12T18:45:00+00:00,4,YES,,0,1,0.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
261,KVC Westerlo,29784,Allahyar Sayyadmanesh,1382457,2025-08-17T17:15:00+00:00,1382459,2025-09-24T18:30:00+00:00,3,YES,,0,1,0.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
261,KVC Westerlo,29784,Allahyar Sayyadmanesh,1382459,2025-09-24T18:30:00+00:00,1382497,2025-09-27T18:45:00+00:00,0,YES,4.71,1,0,-2.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
554,Anderlecht,371910,Jan-Carlo Simic,1382430,2025-07-27T11:30:00+00:00,1382447,2025-08-10T14:00:00+00:00,1,YES,6.19,1,0,-1.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
554,Anderlecht,127418,Killian Sardella,1382454,2025-08-17T11:30:00+00:00,1382480,2025-09-14T16:30:00+00:00,1,YES,,0,1,0.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
554,Anderlecht,127418,Killian Sardella,1382463,2025-09-23T18:30:00+00:00,1382493,2025-09-26T18:45:00+00:00,0,YES,4.945,2,1,0.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
554,Anderlecht,371839,Ilay Camara,1382463,2025-09-23T18:30:00+00:00,1382506,2025-10-19T16:30:00+00:00,2,YES,5.77,1,1,0.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
