api_fixture_id,league,league_id,captured_at_utc,kickoff_utc,home_team,away_team,bet_id,bet_name,line,open_b365_f1_0,open_b365_f2_0,open_p_f1_0,open_p_f2_0,status,source
1494758,Eliteserien,103,2026-09-11T14:03:50Z,2026-09-13T15:00:00Z,Ham-Kam,Molde,4,Asian Handicap,0,3.3,1.32,0.28571429,0.71428571,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1494757,Eliteserien,103,2026-09-11T14:03:50Z,2026-09-13T17:15:00Z,Fredrikstad,Sarpsborg 08 FF,4,Asian Handicap,0,1.8,2.0,0.52631579,0.47368421,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1553168,Ekstraklasa,106,2026-09-11T14:03:50Z,2026-09-11T16:00:00Z,Raków Częstochowa,Motor Lublin,4,Asian Handicap,0,1.45,2.68,0.64891041,0.35108959,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1553170,Ekstraklasa,106,2026-09-11T14:03:50Z,2026-09-11T18:30:00Z,Wisla Krakow,Jagiellonia,4,Asian Handicap,0,1.62,2.25,0.58139535,0.41860465,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1553169,Ekstraklasa,106,2026-09-11T14:03:50Z,2026-09-12T12:45:00Z,Slask Wroclaw,Korona Kielce,4,Asian Handicap,0,1.98,1.82,0.47894737,0.52105263,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1553164,Ekstraklasa,106,2026-09-11T14:03:50Z,2026-09-12T15:30:00Z,Gornik Zabrze,Lech Poznan,4,Asian Handicap,0,2.08,1.72,0.45263158,0.54736842,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1553172,Ekstraklasa,106,2026-09-11T14:03:50Z,2026-09-12T18:15:00Z,Zaglebie Lubin,GKS Katowice,4,Asian Handicap,0,1.95,1.85,0.48684211,0.51315789,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1553171,Ekstraklasa,106,2026-09-11T14:03:50Z,2026-09-13T10:15:00Z,Wisla Plock,Cracovia Krakow,4,Asian Handicap,0,1.78,2.02,0.53157895,0.46842105,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1553166,Ekstraklasa,106,2026-09-11T14:03:50Z,2026-09-13T12:45:00Z,Pogon Szczecin,Wieczysta Kraków,4,Asian Handicap,0,1.48,2.6,0.63725490,0.36274510,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1553165,Ekstraklasa,106,2026-09-11T14:03:50Z,2026-09-13T15:30:00Z,Legia Warszawa,Widzew Łódź,4,Asian Handicap,0,1.38,3.0,0.68493151,0.31506849,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
