season,player_id,team_id,team_name,status,attempts,last_attempt_at_utc,last_error
2026,407916,487,Lazio,EMPTY,1,2026-09-18T18:55:41Z,
2026,408124,66,Aston Villa,CAPTURED,1,2026-09-18T18:55:41Z,
2026,409794,80,Lyon,EMPTY,1,2026-09-18T18:55:41Z,
2026,409798,42,Arsenal,EMPTY,1,2026-09-18T18:55:41Z,
2026,410421,45,Everton,CAPTURED,1,2026-09-18T18:55:41Z,
2026,412084,66,Aston Villa,CAPTURED,1,2026-09-18T18:55:41Z,
2026,412708,167,1899 Hoffenheim,EMPTY,1,2026-09-18T18:55:41Z,
2026,412719,35,Bournemouth,CAPTURED,1,2026-09-18T18:55:41Z,
2026,412893,499,Atalanta,EMPTY,1,2026-09-18T18:55:41Z,
2026,416250,66,Aston Villa,CAPTURED,1,2026-09-18T18:55:41Z,
2026,419584,111,Le Havre,EMPTY,1,2026-09-18T18:55:41Z,
2026,421863,110,Estac Troyes,EMPTY,1,2026-09-18T18:55:41Z,
2026,423714,34,Newcastle,EMPTY,1,2026-09-18T18:55:41Z,
2026,426446,529,Barcelona,CAPTURED,1,2026-09-18T18:55:41Z,
2026,427,1346,Coventry,CAPTURED,1,2026-09-18T18:55:41Z,
2026,428799,530,Atletico Madrid,EMPTY,1,2026-09-18T18:55:41Z,
2026,432080,546,Getafe,EMPTY,1,2026-09-18T18:55:41Z,
2026,432595,157,Bayern München,EMPTY,1,2026-09-18T18:55:41Z,
2026,434785,97,Lorient,EMPTY,1,2026-09-18T18:55:41Z,
2026,436238,505,Inter,CAPTURED,1,2026-09-18T18:55:41Z,
2026,436443,36,Fulham,EMPTY,1,2026-09-18T18:55:41Z,
2026,437561,40,Liverpool,EMPTY,1,2026-09-18T18:55:41Z,
2026,437637,531,Athletic Club,EMPTY,1,2026-09-18T18:55:41Z,
2026,437644,531,Athletic Club,EMPTY,1,2026-09-18T18:55:41Z,
2026,440070,91,Monaco,EMPTY,1,2026-09-18T18:55:41Z,
2026,441231,173,RB Leipzig,EMPTY,1,2026-09-18T18:55:41Z,
2026,443748,530,Atletico Madrid,EMPTY,1,2026-09-18T18:55:41Z,
2026,444451,535,Malaga,CAPTURED,1,2026-09-18T18:55:41Z,
2026,444508,65,Nottingham Forest,CAPTURED,1,2026-09-18T18:55:41Z,
2026,444961,168,Bayer Leverkusen,EMPTY,1,2026-09-18T18:55:41Z,
2026,445447,496,Juventus,EMPTY,1,2026-09-18T18:55:41Z,
2026,446829,97,Lorient,EMPTY,1,2026-09-18T18:55:41Z,
2026,44912,34,Newcastle,EMPTY,1,2026-09-18T18:55:41Z,
2026,449237,63,Leeds,EMPTY,1,2026-09-18T18:55:41Z,
2026,452308,4665,Racing Santander,EMPTY,1,2026-09-18T18:55:41Z,
2026,453964,157,Bayern München,EMPTY,1,2026-09-18T18:55:41Z,
2026,455332,167,1899 Hoffenheim,EMPTY,1,2026-09-18T18:55:41Z,
2026,456882,110,Estac Troyes,EMPTY,1,2026-09-18T18:55:41Z,
2026,457731,42,Arsenal,CAPTURED,1,2026-09-18T18:55:41Z,
2026,458411,499,Atalanta,EMPTY,1,2026-09-18T18:55:41Z,
2026,460151,167,1899 Hoffenheim,EMPTY,1,2026-09-18T18:55:41Z,
2026,461830,505,Inter,EMPTY,1,2026-09-18T18:55:41Z,
2026,462209,168,Bayer Leverkusen,EMPTY,1,2026-09-18T18:55:41Z,
2026,462229,502,Fiorentina,CAPTURED,1,2026-09-18T18:55:41Z,
