entity_id,entity_type,rule_or_stage,api_fixture_id,league,home_team,away_team,kickoff_utc,event_time_utc,event_type,status,selection,bookmaker,odds,details
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-12T16:42:49Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-12T17:41:15Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-12T18:43:21Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-12T19:41:57Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-12T20:45:21Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-12T21:42:20Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-12T22:44:04Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-12T23:41:06Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-13T00:48:13Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-13T01:43:35Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-13T02:43:33Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-13T03:43:59Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-13T04:43:41Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
